#1's Destiny child [ motion picture ]  	-	Author:	(n/a)	||||	Publisher:	USA :	"BMG Music Entertainment,"	c2005.	||||	Subject:	Popular Music	||||	Location:	Audio Visual Center	||||	Call ID:	CD	781.63	F51	(n/a)	||||	Barcode:	CD 2508
16 best Philippine folk dances [ video recording ].	-	Author:	(n/a)	||||	Publisher:	[Manila] :	Aquarius Records.		||||	Subject:	Folk and national dancing	||||	Location:	Audio Visual Center	||||	Call ID:	CD	793.31	Si9	(n/a)	||||	Barcode:	CD 3007
17 again [motion picture]  	-	Author:	"Steers, Bur"	||||	Publisher:	"Los Angeles, California :"	"New Line Home Entertainment,"	c2009.	||||	Subject:	Teenagers	||||	Location:	Audio Visual Center	||||	Call ID:	CD	395.123'083'5	St3	2009	||||	Barcode:	CD 3575
1p multicasting concepts and applications  	-	Author:	"Goncalves, Marcus"	||||	Publisher:	New York :	"Mc Graw   Hill,"	c1999.	||||	Subject:	Multicasting (computer networks)	||||	Location:	Audio Visual Center	||||	Call ID:	CD	004.6'6	G59	1999	||||	Barcode:	CD 188
200 pounds beauty [motion picture]  	-	Author:	(n/a)	||||	Publisher:	Singapore :	"InnoForm Media,"	c2007.	||||	Subject:	Singers	||||	Location:	Audio Visual Center	||||	Call ID:	CD	782.0092	T93	2007	||||	Barcode:	CD 4119
2001 Lippincott's nursing drug guide [computer file]  	-	Author:	"Karch, Amy M."	||||	Publisher:	Philadelphia :	"Lippincott,"	c2001.	||||	Subject:	Nursing	||||	Location:	Audio Visual Center	||||	Call ID:	CD	610.73	K14	2001	||||	Barcode:	CD 518
2002 lippincott's nursing drug guide [computer file]  	-	Author:	"Karch, Amy M."	||||	Publisher:	Philadelphia :	"Lippincott,"	c2002.	||||	Subject:	Nursing	||||	Location:	Audio Visual Center	||||	Call ID:	CD	610.73	K14	2002	||||	Barcode:	CD 604
2004 Lippincott nursing drug guide [ computer file ]  	-	Author:	"Karch, Amy Morrison,"	||||	Publisher:	"Philadelphia, Pa. :"	"Lippincott Williams & Wilkins,"	c2004.	||||	Subject:	Drugs	||||	Location:	Audio Visual Center	||||	Call ID:	CD	615.58	K14	2004	||||	Barcode:	CD 1431
2004 Lippincott's nursing drug guide [ computer file ]  	-	Author:	"Karch, Amy M."	||||	Publisher:	Philadelphia :	"Lippincott Williams,"	c2004.	||||	Subject:	Drug	||||	Location:	Audio Visual Center	||||	Call ID:	CD	615.58	K14	2004	||||	Barcode:	CD 988
2004 Lippincott's nursing drug guide [ computer file ]  	-	Author:	"Karch, Amy M."	||||	Publisher:	Philadelphia :	"Lippincott Williams,"	c2004.	||||	Subject:	Drug	||||	Location:	Audio Visual Center	||||	Call ID:	CD	615.58	K14	2004	||||	Barcode:	CD 989
2004 Mosby's nursing drug reference [ computer file ]  	-	Author:	"Skidmore Roth, Linda"	||||	Publisher:	St. Louis :	"Mosby,"	c2004.	||||	Subject:	Drugs	||||	Location:	Audio Visual Center	||||	Call ID:	CD	615.1	Sk3	2004	||||	Barcode:	CD 984
2007 Intravenous medications [ computer file ]  	-	Author:	"Gahart, Betty L."	||||	Publisher:	Edinburgh :	"Elsevier Mosby,"	2007	||||	Subject:	Intravenous therapy.	||||	Location:	Audio Visual Center	||||	Call ID:	CD	615.855	G12	(n/a)	||||	Barcode:	CD 2772
2007 Lippincott's nursing drug guide [ computer file ]  	-	Author:	"Karch, Amy M."	||||	Publisher:	Philadelphia :	"Lippincott Williams & Wilkins,"	c 2007.	||||	Subject:	Nursing	||||	Location:	Audio Visual Center	||||	Call ID:	CD	610.73	K14	(n/a)	||||	Barcode:	CD 2397
2007 Mosby's nursing drug reference [computer file] 	-	Author:	"Skidmore Roth, Linda."	||||	Publisher:	"St. Louis, MO :"	"Mosby,"	c2007.	||||	Subject:	Drugs	||||	Location:	Audio Visual Center	||||	Call ID:	CD	615	Sk3	(n/a)	||||	Barcode:	CD 2881
2008 Mosby's nursing drug reference [computer file] 	-	Author:	"Skidmore Roth, Linda."	||||	Publisher:	"St. Louis, Mo. :"	"Mosby Elsevier,"	c2008.	||||	Subject:	Drugs	||||	Location:	Audio Visual Center	||||	Call ID:	CD	615.1	Sk3	2008	||||	Barcode:	CD 4276
2009 Mosby's nursing drug reference [computer file] 	-	Author:	"Skidmore Roth, Linda"	||||	Publisher:	"St. Louis, Missouri :"	"Mosby,"	c2009.	||||	Subject:	Pharmacology	||||	Location:	Audio Visual Center	||||	Call ID:	CD	615.1	Sk3	2009	||||	Barcode:	CD 3871
2012 [motion picture]  	-	Author:	"Emmerich, Roland"	||||	Publisher:	Culver City Calif :	"Sony Pictures Home Entertainment,"	c2010.	||||	Subject:	"Two thousand twelve, A.D"	||||	Location:	Audio Visual Center	||||	Call ID:	CD	791.4372	Em6	2010	||||	Barcode:	CD 3622
21st century astronomy [computer file] 	-	Author:	(n/a)	||||	Publisher:	New York :	"W. W. Norton & Company, Inc,"	c2002.	||||	Subject:	Astronomy	||||	Location:	Audio Visual Center	||||	Call ID:	CD	520	T91	(n/a)	||||	Barcode:	CD 3114
21st century medicine 	-	Author:	(n/a)	||||	Publisher:	"Bethesda, MD :"	"Discovery Communication Inc,"	c2000.	||||	Subject:	Medicine	||||	Location:	Audio Visual Center	||||	Call ID:	CD	610	T91	2000	||||	Barcode:	CD 1967
21st century medicine 	-	Author:	"Streb, Kirk"	||||	Publisher:	[s.l.] :	"Discovery Communications, Inc,"	c2007.	||||	Subject:	Cosmetic Surgery	||||	Location:	Audio Visual Center	||||	Call ID:	CD	617.95	St8	(n/a)	||||	Barcode:	CD 2689
21st century medicine 	-	Author:	(n/a)	||||	Publisher:	"Silver Spring, MD :"	Discovery Communications.		||||	Subject:	Medicine	||||	Location:	Audio Visual Center	||||	Call ID:	CD	615.53	B63	(n/a)	||||	Barcode:	CD 3900
21st century skills 	-	Author:	(n/a)	||||	Publisher:	Heidelberg  :	"Springer,"	c2012.	||||	Subject:	Educational technology	||||	Location:	Audio Visual Center	||||	Call ID:	CD	371.33'4	T92	2012	||||	Barcode:	CD 4400
25 non stop christmas ballroom [sound recording].	-	Author:	(n/a)	||||	Publisher:	[S.l.] :	Aquiarius Records and Tapes.		||||	Subject:	Christmas carols	||||	Location:	Audio Visual Center	||||	Call ID:	CD	782.281'723	T91	(n/a)	||||	Barcode:	CD 4204
27 Dresses 	-	Author:	(n/a)	||||	Publisher:	[USA] :	"Fox 2000 Pictures,"	c2008.	||||	Subject:	Romance	||||	Location:	Audio Visual Center	||||	Call ID:	CD	791.43	T91	(n/a)	||||	Barcode:	CD 2988
30 days to the TOEIC test [ computer file ]  	-	Author:	(n/a)	||||	Publisher:	"Lawrenceville, N.J. :"	"Peterson's,"	c2002.	||||	Subject:	Test of English for International Communication	||||	Location:	Audio Visual Center	||||	Call ID:	CD	428.0076	T34	2002	||||	Barcode:	CD 1463
30 days to the TOEIC test [ computer file ]  	-	Author:	(n/a)	||||	Publisher:	"Lawrenceville, N.J. :"	"Peterson's,"	c2002.	||||	Subject:	Test of English for International Communication	||||	Location:	Audio Visual Center	||||	Call ID:	CD	428.0076	T34	2002	||||	Barcode:	CD 1464
3D game environments 	-	Author:	"Ahearn, Luke"	||||	Publisher:	USA :	"Focal Press,"	c2008.	||||	Subject:	Computer games	||||	Location:	Audio Visual Center	||||	Call ID:	CD	794.8'1526	Ah3	2008	||||	Barcode:	CD 4389
3D games 	-	Author:	"Watt, Alan H."	||||	Publisher:	Harlow :	"Addison Wesley,"	c2003.	||||	Subject:	Computer games	||||	Location:	Circulation Section	||||	Call ID:	(n/a)	794.8'1526	W34	2003	||||	Barcode:	52530
3D games 	-	Author:	"Watt, Alan H."	||||	Publisher:	Harlow :	"Addison Wesley,"	c2003.	||||	Subject:	Computer games	||||	Location:	Audio Visual Center	||||	Call ID:	CD	794.8'1526	W34	2003	||||	Barcode:	CD 1600
3D movie making 	-	Author:	"Meniburu, Bernard"	||||	Publisher:	Oxford :	"Elsevier,"	c2009.	||||	Subject:	3 D films	||||	Location:	Audio Visual Center	||||	Call ID:	CD	778.5'3'22	M52	2009	||||	Barcode:	CD 3409
50 first dates	-	Author:	(n/a)	||||	Publisher:	"Culver City, Calif. :"	"Columbia TriStar Home Entertainment,"	c2004.	||||	Subject:	(n/a)	||||	Location:	Audio Visual Center	||||	Call ID:	CD	791.436'30	F46	2004	||||	Barcode:	CD 1375
50 first dates	-	Author:	(n/a)	||||	Publisher:	"Culver City, Calif. :"	"Columbia TriStar Home Entertainment,"	c2004.	||||	Subject:	(n/a)	||||	Location:	Audio Visual Center	||||	Call ID:	CD	791.436'30	F46	2004	||||	Barcode:	CD 1376
50 first dates [ motion picture ]	-	Author:	(n/a)	||||	Publisher:	"Culver City, Calif. :"	"Columbia TriStar Home Entertainment,"	c2004.	||||	Subject:	(n/a)	||||	Location:	Audio Visual Center	||||	Call ID:	CD	791.436'30	F46	(n/a)	||||	Barcode:	CD 3215
"50 strategies for improving vocabulary, comprehension, and fluency "	-	Author:	"Herrell, Adrienne L."	||||	Publisher:	"Upper, Saddle River, New Jersey :"	"Pearson Merrill Prentice Hall,"	c2006.	||||	Subject:	Reading comprehension	||||	Location:	Circulation Section	||||	Call ID:	(n/a)	428.4'3	H43	2006	||||	Barcode:	58545
"50 strategies for improving vocabulary, comprehension, and fluency "	-	Author:	"Herrell, Adrienne L."	||||	Publisher:	"Upper, Saddle River, New Jersey :"	"Pearson Merrill Prentice Hall,"	c2006.	||||	Subject:	Reading comprehension	||||	Location:	Audio Visual Center	||||	Call ID:	CD	428.4'3	H43	2006	||||	Barcode:	CD 3390
5ive girls [ motion picture ]  	-	Author:	"Sonoda, Warren"	||||	Publisher:	[s.l.] :	"Archetype Films,"	c2006.	||||	Subject:	Horror Thriller	||||	Location:	Audio Visual Center	||||	Call ID:	CD	791.43	So5	(n/a)	||||	Barcode:	CD 2653
5S for the office 	-	Author:	"Fabrizio, Tom."	||||	Publisher:	New York :	"Productivity Press,"	c2006.	||||	Subject:	Office management.	||||	Location:	Audio Visual Center	||||	Call ID:	CD	651.3	F11	(n/a)	||||	Barcode:	CD 3042
6 steps to improving customer service  	-	 Author:	(n/a)	||||	Publisher:	"Boston,MA :"	"Goldrish Group Inc,"	c1994.	||||	 Subject:	Customer service.	||||	Location:	Audio-Visual Center	||||	Call ID:	CD	658.812	Si1	1994	||||	Barcode:	CD 4652
6 steps to improving customer servicethrough quality[video recording].	-	Author:	(n/a)	||||	Publisher:	"Boston,MA :"	"Goldrish Group Inc,"	c1994.	||||	Subject:	Customer service. 2.Customer relations.	||||	Location:	Audio Visual Center	||||	Call ID:	VT	658.812	Si1	1994	||||	Barcode:	VT 265
A beautiful mind [ motion picture ]  	-	Author:	(n/a)	||||	Publisher:	United States :	"Universal Pictures ;,"	2001	||||	Subject:	(n/a)	||||	Location:	Audio Visual Center	||||	Call ID:	CD	791.436'30	B38	2001	||||	Barcode:	CD 775
A beautiful mind [ motion picture ]  	-	Author:	(n/a)	||||	Publisher:	United States :	"Universal Pictures ;,"	2001	||||	Subject:	(n/a)	||||	Location:	Audio Visual Center	||||	Call ID:	CD	791.436'30	B38	2001	||||	Barcode:	CD 776
A brief introduction to fluid mechanics  	-	Author:	"Young, Donald"	||||	Publisher:	(n/a)	(n/a)		||||	Subject:	(n/a)	||||	Location:	Audio Visual Center	||||	Call ID:	CD	620.1'06	Y8	2001	||||	Barcode:	CD 500
A Brief introduction to Fluid Mechanics [computer file]  	-	Author:	"Young, Donald F."	||||	Publisher:	New York :	"John Wiley & Sons,"	c2001.	||||	Subject:	Fluid mechanics	||||	Location:	Audio Visual Center	||||	Call ID:	CD	620.1'06	Y8	2001	||||	Barcode:	CD 179
A Bug's life [ motion picture ]  	-	Author:	(n/a)	||||	Publisher:	USA :	"Walt Disney, Pixar Animation,"	c1999.	||||	Subject:	Insects.	||||	Location:	Audio Visual Center	||||	Call ID:	CD	791.433	B86	1999	||||	Barcode:	CD 713
A Bug's life [ motion picture ]  	-	Author:	(n/a)	||||	Publisher:	USA :	"Walt Disney, Pixar Animation,"	c1999.	||||	Subject:	Insects.	||||	Location:	Audio Visual Center	||||	Call ID:	CD	791.433	B86	1999	||||	Barcode:	CD 714
A child's world 	-	Author:	"Papalia, Diane E."	||||	Publisher:	Boston :	"Mc Graw Hill,"	c2002.	||||	Subject:	Child development	||||	Location:	Audio Visual Center	||||	Call ID:	CD	305.231	P19	2002	||||	Barcode:	CD 1738
