#1's Destiny child [ motion picture ]  	-	Author:	(n/a)	||||	Publisher:	USA :	"BMG Music Entertainment,"	c2005.	||||	Subject:	Popular Music	||||	Location:	Audio Visual Center	||||	Call ID:	CD	781.63	F51	(n/a)	||||	Barcode:	CD 2508
Common plumbing fitting 	-	Author:	(n/a)	||||	Publisher:	[ s.l ] :	"Nimco,"	[c19?]	||||	Subject:	Plumbing.	||||	Location:	Audio Visual Center	||||	Call ID:	VT	696.1	P73c	(n/a)	||||	Barcode:	VT 309
Common plumbing fitting [video recording].	-	Author:	(n/a)	||||	Publisher:	[ s.l ] :	"Nimco,"	[c19?]	||||	Subject:	Plumbing.	||||	Location:	Audio Visual Center	||||	Call ID:	VT	696.1	C73	(n/a)	||||	Barcode:	VT 306
Communicate! [ computer file]  	-	Author:	"Verderber, Rudolph F."	||||	Publisher:	"Belmont, CA :"	"Thomson Wadsworth,"	c2005.	||||	Subject:	Communication.	||||	Location:	Audio Visual Center	||||	Call ID:	CD	302.2	V58	2005	||||	Barcode:	CD 1547
Communicating at work [computer file]  	-	Author:	"Adler, Ronald B."	||||	Publisher:	New York :	"McGraw Hill,"	c2005.	||||	Subject:	Business communication	||||	Location:	Audio Visual Center	||||	Call ID:	CD	658.4'5	Ad5	(n/a)	||||	Barcode:	CD 3152
Communicating effectively [ computer file ]  	-	Author:	"Hybels, Saundra"	||||	Publisher:	Boston :	"McGraw   Hill,"	c2001.	||||	Subject:	Oral communication	||||	Location:	Audio Visual Center	||||	Call ID:	CD	302.2'242	H99	2001	||||	Barcode:	CD 1569
Communicating effectively [ computer file ]  	-	Author:	"Hybels, Saundra"	||||	Publisher:	Boston :	"McGraw   Hill,"	c2001.	||||	Subject:	Oral communication	||||	Location:	Audio Visual Center	||||	Call ID:	CD	302.2'242	H99	2001	||||	Barcode:	CD 2244
Communicating effectively [video recording]  	-	Author:	"Haybels, Saundra"	||||	Publisher:	Boston :	"McGraw   Hill,"	c2001.	||||	Subject:	Oral communication	||||	Location:	Audio Visual Center	||||	Call ID:	CD	302.2'242	H99	2001	||||	Barcode:	CD 375
Communication is power 	-	Author:	(n/a)	||||	Publisher:	"Cubao, Quezon City :"	Felta Multi   Media Center.		||||	Subject:	Communication	||||	Location:	Audio Visual Center	||||	Call ID:	VT	302.23	C73	(n/a)	||||	Barcode:	VT 591
Communication works [ computer file ]  	-	Author:	"Gamble, Teri Kwal"	||||	Publisher:	Boston :	"Mcgraw Hill,"	c2002.	||||	Subject:	Communication	||||	Location:	Audio Visual Center	||||	Call ID:	CD	302.2'24	G14	2002	||||	Barcode:	CD 2254
Communication works [ computer file ]  	-	Author:	"Gamble, Teri Kwal"	||||	Publisher:	Boston :	"McGraw Hill,"	c2005.	||||	Subject:	Communication	||||	Location:	Audio Visual Center	||||	Call ID:	CD	302.2	G14	(n/a)	||||	Barcode:	CD 2424
Communication works [computer file]  	-	Author:	"Gamble, Kwal Teri"	||||	Publisher:	Boston :	"McGraw Hill,"	c2008.	||||	Subject:	Communication.	||||	Location:	Audio Visual Center	||||	Call ID:	CD	302.2	G14	2008	||||	Barcode:	CD 4299
Communication works! 	-	Author:	"Galvin, Kathleen M."	||||	Publisher:	Illinois:	"National Textbook Company,"	c2001.	||||	Subject:	Communication.	||||	Location:	Audio Visual Center	||||	Call ID:	CD	302.2	G13	2001	||||	Barcode:	CD 1530
Community health Nursing 	-	Author:	"Hitchcock, Janice E."	||||	Publisher:	Australia :	"Thomson Delmar Learning,"	c2003.	||||	Subject:	Community health nursing	||||	Location:	Nursing Section	||||	Call ID:	(n/a)	610.73'43	H63	2003	||||	Barcode:	50553
Community health Nursing 	-	Author:	"Hitchcock, Janice E."	||||	Publisher:	Australia :	"Thomson Delmar Learning,"	c2003.	||||	Subject:	Community health nursing	||||	Location:	Audio Visual Center	||||	Call ID:	CD	610.73'43	H63	2003	||||	Barcode:	CD 1563
Comparison of mitosis and meiosis [ video recording ]  	-	Author:	(n/a)	||||	Publisher:	"Cubao, Quezon City :"	"Felta,"	c1996.	||||	Subject:	Mitosis	||||	Location:	Audio Visual Center	||||	Call ID:	VT	571.844	C73	1996	||||	Barcode:	VT 450
Compilation 1 [sound recording].	-	Author:	(n/a)	||||	Publisher:	[s.l.] :	"[s.n.],"	c1997.	||||	Subject:	Folk and national dancing	||||	Location:	Audio Visual Center	||||	Call ID:	CT	793.31	C73	(n/a)	||||	Barcode:	CT 086
Compilation 2 [ sound recordings ].	-	Author:	(n/a)	||||	Publisher:	[s.l.] :	[s.n.].		||||	Subject:	Praise songs	||||	Location:	Audio Visual Center	||||	Call ID:	CT	782.254	C73	(n/a)	||||	Barcode:	CT 87
Compilation 2 [sound recording].	-	Author:	(n/a)	||||	Publisher:	[s.l.] :	"[s.n.],"	c1996.	||||	Subject:	Gospel music	||||	Location:	Audio Visual Center	||||	Call ID:	CT	782.254	C73	(n/a)	||||	Barcode:	CT 087
Compilation 3 [sound recording].	-	Author:	(n/a)	||||	Publisher:	[s.l.] :	"[s.n.],"	c1997.	||||	Subject:	"Folk music of specific racial, ethnic, national gr"	||||	Location:	Audio Visual Center	||||	Call ID:	CT	781.621	C73	(n/a)	||||	Barcode:	CT 088
Compilation 5 [sound recording].	-	Author:	(n/a)	||||	Publisher:	[s.l.] :	"[s.n.],"	c199?.	||||	Subject:	Folk music	||||	Location:	Audio Visual Center	||||	Call ID:	CT	781.62	C73	(n/a)	||||	Barcode:	CT 90
Complete Business Statistics [Computer File]  	-	Author:	"Aczel, Amir D."	||||	Publisher:	Boston :	"McGraw   Hill,"	c1999.	||||	Subject:	Commercial Statistics	||||	Location:	Audio Visual Center	||||	Call ID:	CD	519.5	Ac9	1999	||||	Barcode:	CD 258
Complete business statistics [computer file]  	-	Author:	"Aczel, Amir D."	||||	Publisher:	Boston :	"McGraw Hill Irwin,"	c2002.	||||	Subject:	Commercial statistics	||||	Location:	Audio Visual Center	||||	Call ID:	CD	519.5	Ac9	(n/a)	||||	Barcode:	CD 3157
Complete guide to front office [videorecording].	-	Author:	(n/a)	||||	Publisher:	Lambton NSW :	"Futura Training,"	c2009.	||||	Subject:	Hotel front desk personnel	||||	Location:	Audio Visual Center	||||	Call ID:	CD	647.94	C73	2009	||||	Barcode:	CD 4365
Complete guide to housekeeping [computer file] .	-	Author:	(n/a)	||||	Publisher:	"New South Wales, Australia :"	"Futura Training (Aust) Pty Ltd.,"	c2009.	||||	Subject:	Housekeeping management.	||||	Location:	Audio Visual Center	||||	Call ID:	CD	647.94068'2	C73	2009	||||	Barcode:	CD 4374
Complete guide to housekeeping [videorecording].	-	Author:	(n/a)	||||	Publisher:	Lambton NSW :	"Futura Training,"	c2009.	||||	Subject:	Hotel housekeeping	||||	Location:	Audio Visual Center	||||	Call ID:	CD	647.94092	C73	2009	||||	Barcode:	CD 4366
Complete guide to the TOEIC Test [ computer file ]  	-	Author:	"Rogers, Bruce"	||||	Publisher:	Australia :	"Thomson,"	c2003.	||||	Subject:	Test of English for international communication	||||	Location:	Audio Visual Center	||||	Call ID:	CD	428.00763	R63	2003	||||	Barcode:	CD 1595
Complete party dancers  	-	Author:	"Lane, Christy"	||||	Publisher:	"Palm Springs, CA :"	"Let's Do It!,"	c1997.	||||	Subject:	(n/a)	||||	Location:	Audio Visual Center	||||	Call ID:	(n/a)	(n/a)	(n/a)	1997	||||	Barcode:	VT 437
Complimentary & alternative medicine [ computer file ].	-	Author:	(n/a)	||||	Publisher:	Seattle :	"Multimedia 2000, Inc.,"	c2004.	||||	Subject:	Alternative Medicine	||||	Location:	Audio Visual Center	||||	Call ID:	CD	615.8	C73	2004	||||	Barcode:	CD 1030
Comprehending behavioral statistics [ computer file ]  	-	Author:	"Hulburt, Russell T."	||||	Publisher:	"Belmont, CA :"	"Wadsworth  Thomson,"	c2003.	||||	Subject:	Psychology	||||	Location:	Audio Visual Center	||||	Call ID:	CD	150.7'27	H93	(n/a)	||||	Barcode:	CD 2276
Comprehensive review of nursing for NCLEX RN [ computer file ].	-	Author:	(n/a)	||||	Publisher:	St. Louis :	"Mosby,"	c2003.	||||	Subject:	Nursing	||||	Location:	Audio Visual Center	||||	Call ID:	CD	610.73'073	C73	2003	||||	Barcode:	CD 1758
Computation of special functions [ computer file ]  	-	Author:	"Zhang, Shanjie"	||||	Publisher:	New York :	"John Wiley & Sons Inc,"	c1996.	||||	Subject:	"Functions, Special"	||||	Location:	Audio Visual Center	||||	Call ID:	D	515.5	Z6	1996	||||	Barcode:	D 182
Computer accounting using MYOB [computer file ]  	-	Author:	"Neish, William"	||||	Publisher:	Australia :	"McGraw Hill,"	c2004.	||||	Subject:	MYOB ( Computer program )version 13	||||	Location:	Audio Visual Center	||||	Call ID:	CD	657.0285536	N31	2004	||||	Barcode:	CD 2232
Computer accounting with quickbooks pro 99 [ computer file ]  	-	Author:	"Ulmer, Donna"	||||	Publisher:	Boston :	"Irwin McGraw Hill,"	c2000.	||||	Subject:	Quick Books	||||	Location:	Audio Visual Center	||||	Call ID:	CD	657.9042'028	Ul5	2000	||||	Barcode:	CD 1062
Computer based learning for microsoft excel [computer file]  	-	Author:	"Adair, Troy A. Jr."	||||	Publisher:	New York :	"McGraw Hill,"	c2005.	||||	Subject:	Cash management	||||	Location:	Audio Visual Center	||||	Call ID:	CD	658.15'50285554	Ad2	2005	||||	Barcode:	CD 4022
Computer concepts [computer file]	-	Author:	"Parsons, June Jamrich."	||||	Publisher:	"Cambridge, Mass. ;"	"Course Technology,"	2004	||||	Subject:	Computer science.	||||	Location:	Audio Visual Center	||||	Call ID:	CD	4	P25	2004	||||	Barcode:	CD 1731
Computer confluence 	-	Author:	(n/a)	||||	Publisher:	"Menlo Park, California :"	"Addison   Wesley Longman,"	c1997.	||||	Subject:	Computer	||||	Location:	Audio Visual Center	||||	Call ID:	CD	4	C37	1997	||||	Barcode:	CD 135
Computer education for teachers 	-	Author:	"Sharp, Vicki F."	||||	Publisher:	Boston :	"McGraw Hill,"	c2005.	||||	Subject:	Education	||||	Location:	Graduate School Section	||||	Call ID:	(n/a)	370	Sh2	2005	||||	Barcode:	51684
Computer education for teachers 	-	Author:	"Sharp, Vicki F."	||||	Publisher:	Boston :	"McGraw Hill,"	c2005.	||||	Subject:	Education	||||	Location:	Audio Visual Center	||||	Call ID:	CD	370	Sh2	2005	||||	Barcode:	CD 1407
Computer hardware	-	Author:	(n/a)	||||	Publisher:	N.Y :	"The Center for Humanities,"	c1982.	||||	Subject:	Computer hardware	||||	Location:	Audio Visual Center	||||	Call ID:	VT	1.64	C73	1982	||||	Barcode:	VT 712
Computer hardware 	-	Author:	(n/a)	||||	Publisher:	New York :	"Prentice Hall   Media,"	c199?.	||||	Subject:	Data processing	||||	Location:	Audio Visual Center	||||	Call ID:	VT	4	C73	(n/a)	||||	Barcode:	VT 219
Computer in society [ video recording ].  	-	Author:	(n/a)	||||	Publisher:	[ s.l ] :	"Encyclopaedia Britannica,"	[ 19? ]	||||	Subject:	Computers and civilization	||||	Location:	Audio Visual Center	||||	Call ID:	VT	303.4834	C73	(n/a)	||||	Barcode:	VT 810
Computer programming fundamentals with applications in Visual basic 6.0  	-	Author:	"Kerman, Mitchell"	||||	Publisher:	Massachusetts :	"Addison Wesley,"	c2000.	||||	Subject:	Computer programming	||||	Location:	Technological Studies Section	||||	Call ID:	(n/a)	005.26'8	K45	2000	||||	Barcode:	44861
Computer programming fundamentals with applications in Visual basic 6.0  	-	Author:	"Kerman, Mitchell"	||||	Publisher:	Massachusetts :	"Addison Wesley,"	c2000.	||||	Subject:	Computer programming	||||	Location:	Audio Visual Center	||||	Call ID:	CD	005.26'8	K45	2000	||||	Barcode:	CD 587
Computer software 	-	Author:	(n/a)	||||	Publisher:	New York :	"Prentice   Hall Media,"	c19?.	||||	Subject:	Computer programming	||||	Location:	Audio Visual Center	||||	Call ID:	VT	5	C73	(n/a)	||||	Barcode:	VT 218
Computer software 	-	Author:	(n/a)	||||	Publisher:	New York :	"Prentice   Hall Media,"	c19?.	||||	Subject:	Computer programming	||||	Location:	Audio Visual Center	||||	Call ID:	VT	5	C73	(n/a)	||||	Barcode:	VT 713
Computer survival guide	-	Author:	(n/a)	||||	Publisher:	New York :	"Prentice Hall,"	c19?.	||||	Subject:	Operating system	||||	Location:	Audio Visual Center	||||	Call ID:	VT	5.432	C73	(n/a)	||||	Barcode:	VT 714
Computerized Accounting with Peach Tree Complete Accounting Release 7.0 [computer file]  	-	Author:	"Bigham, Annette"	||||	Publisher:	New Jersey :	"Prentice   Hall,"	c2000.	||||	Subject:	Peachtree complete accounting	||||	Location:	Audio Visual Center	||||	Call ID:	CD	657.0285'53	B48	2000	||||	Barcode:	CD 177
Computerized business simulation for Microsoft windows [ computer file ]  	-	Author:	"Mansuetti, Leland"	||||	Publisher:	Boston:	"Irwin McGraw Hill,"	c2000.	||||	Subject:	Cost accounting	||||	Location:	Audio Visual Center	||||	Call ID:	CD	657.42	M31	2000	||||	Barcode:	CD 1549
Computerizes principles of financial accounting [ computer file ]  	-	Author:	"Klooster, Dale"	||||	Publisher:	[ s. l. ] :	"South Western College Publishing,"	c1999.	||||	Subject:	Financial accounting	||||	Location:	Audio Visual Center	||||	Call ID:	CD	657.450285	K69	1999	||||	Barcode:	CD 117
Computers 	-	Author:	"Capron, H. L."	||||	Publisher:	Massachusetts :	"Addison Wesley,"	c1998.	||||	Subject:	Computers	||||	Location:	Technological Studies Section	||||	Call ID:	(n/a)	4	C17	1998	||||	Barcode:	39355
Computers 	-	Author:	"Capron, H. L."	||||	Publisher:	Massachusetts :	"Addison Wesley,"	c1998.	||||	Subject:	Computers	||||	Location:	Audio Visual Center	||||	Call ID:	CD	4	C17	1998	||||	Barcode:	CD 125
Computers 	-	Author:	"Capron, H. L."	||||	Publisher:	Massachusetts :	"Addison Wesley,"	c1998.	||||	Subject:	Computers	||||	Location:	Technological Studies Section	||||	Call ID:	(n/a)	4	C17	1998	||||	Barcode:	43432
Computers 	-	Author:	"Capron, H. L."	||||	Publisher:	Massachusetts :	"Addison Wesley,"	c1998.	||||	Subject:	Computers	||||	Location:	Technological Studies Section	||||	Call ID:	(n/a)	4	C17	1998	||||	Barcode:	50485
Computers 	-	Author:	"Erickson, Fritz J."	||||	Publisher:	New York :	"Wm. C. Brown,"	c1995.	||||	Subject:	Programming (Computers)	||||	Location:	Technological Studies Section	||||	Call ID:	(n/a)	5.1	Er4	1995	||||	Barcode:	45475
Computers 	-	Author:	"Erickson, Fritz J."	||||	Publisher:	New York :	"Wm. C. Brown,"	c1995.	||||	Subject:	Programming (Computers)	||||	Location:	Audio Visual Center	||||	Call ID:	D	5.1	Er4	1995	||||	Barcode:	D 109
Computing essentials 2005 [ computer file ]  	-	Author:	"O' Leary, Timothy J."	||||	Publisher:	Boston :	"McGraw Hill,"	c2005.	||||	Subject:	Electronic data processing	||||	Location:	Audio Visual Center	||||	Call ID:	CD	005.4'34	OL2	(n/a)	||||	Barcode:	CD 2476
Computing today with Tim's toolbox (computer file]  	-	Author:	"O'Leary, Timothy J."	||||	Publisher:	Boston :	"McGraw Hill Technology Education,"	c2004.	||||	Subject:	Computers.	||||	Location:	Audio Visual Center	||||	Call ID:	CD	44.22	Oh1	(n/a)	||||	Barcode:	CD 3116
Con air 	-	Author:	"Rosenberg, Scott"	||||	Publisher:	[s.l.] :	"Touchstone Home Video,"	c1997.	||||	Subject:	Action	||||	Location:	Audio Visual Center	||||	Call ID:	CD	791.43	R72	(n/a)	||||	Barcode:	CD 1994
Concepts in biology [ computer file ].  	-	Author:	"Engler, Eldon D."	||||	Publisher:	Boston :	"McGraw Hill,"	c2000.	||||	Subject:	Biology.	||||	Location:	Audio Visual Center	||||	Call ID:	CD	570	En3	2000	||||	Barcode:	CD 1003
Concepts of Genetics [video recording]  	-	Author:	"Klug, William S."	||||	Publisher:	New Jersey :	"Prentice Hall, Inc,"	c2000.	||||	Subject:	Genetics	||||	Location:	Audio Visual Center	||||	Call ID:	CD	576.5	K71	2000	||||	Barcode:	CD 223
Condiments [video recording].	-	Author:	(n/a)	||||	Publisher:	"Hyde Park, NY :"	"Culinary Institute of America,"	c2003.	||||	Subject:	Cookery	||||	Location:	Audio Visual Center	||||	Call ID:	VT	641.6382	C75	2003	||||	Barcode:	VT 657
Conditioning for strength and human performance [computer file] 	-	Author:	"Chandler, T. Jeff"	||||	Publisher:	Philadelphia :	"Wolters Kluwer,"	c2008.	||||	Subject:	Physical fitness	||||	Location:	Audio Visual Center	||||	Call ID:	CD	613.7'1	C36	2008	||||	Barcode:	CD 2676
Confessional 	-	Author:	"Tarog, Jerrold"	||||	Publisher:	Philippines :	Sony Music.		||||	Subject:	Confessional	||||	Location:	Audio Visual Center	||||	Call ID:	CD	247.1	T17	(n/a)	||||	Barcode:	CD 4499
Confessions of a shopaholic [motion picture]  	-	Author:	"Hogan, P. J."	||||	Publisher:	"Burbank, Calif. :"	"Touchstone Home Entertainment,"	2009	||||	Subject:	Compulsive shopping	||||	Location:	Audio Visual Center	||||	Call ID:	CD	823'.92	H67	2009	||||	Barcode:	CD 3830
Confessions of a teenage drama queen [motion picture]  	-	Author:	"Sugarman, Sara"	||||	Publisher:	[United States] :	Walt Disney Home Entertainment ;	c2004.	||||	Subject:	Identity	||||	Location:	Audio Visual Center	||||	Call ID:	CD	741.5'973	Su3	2004	||||	Barcode:	CD 3829
Connective Tissue [ video recording ]  	-	Author:	(n/a)	||||	Publisher:	Colorado :	"Micron Bio System,"	c1989.	||||	Subject:	Connective Tissue	||||	Location:	Audio Visual Center	||||	Call ID:	VT	612.75	C76	(n/a)	||||	Barcode:	VT 994
Conquer your speech anxiety 	-	Author:	"Dwyer, Karen Kangas"	||||	Publisher:	Australia :	"Thomson Wadsworth,"	c2005.	||||	Subject:	Public Speaking	||||	Location:	Audio Visual Center	||||	Call ID:	CD	808.5'1	D97	(n/a)	||||	Barcode:	CD 2274
Conquerors	-	Author:	(n/a)	||||	Publisher:	New York :	"Discovery Communications,"	c1996.	||||	Subject:	Generals	||||	Location:	Audio Visual Center	||||	Call ID:	CD	938'.07092	C76	1996	||||	Barcode:	CD 3726
Conquerors 	-	Author:	"Youngdahl, Kate"	||||	Publisher:	"Bethesda, MD :"	"Discovery Communications Inc,"	c1996.	||||	Subject:	Napoleon Bonaparte	||||	Location:	Audio Visual Center	||||	Call ID:	CD	944.05	Y8	1996	||||	Barcode:	CD 1957
Conserving the environment 	-	Author:	(n/a)	||||	Publisher:	Philippines :	"Coronet,"	c199?.	||||	Subject:	Environment problems	||||	Location:	Audio Visual Center	||||	Call ID:	VT	363.73	C74	(n/a)	||||	Barcode:	VT 172
Conspiracies on trial 	-	Author:	(n/a)	||||	Publisher:	[s.l.] :	"Discovery Communications,"	c2007.	||||	Subject:	Pope	||||	Location:	Audio Visual Center	||||	Call ID:	CD	282.092	C76	(n/a)	||||	Barcode:	CD 2717
Conspiracies on trial 	-	Author:	(n/a)	||||	Publisher:	"Burbank, CA :"	"Discovery Communications, Inc,"	c2007.	||||	Subject:	Pope John Paul I	||||	Location:	Audio Visual Center	||||	Call ID:	CD	282.092	C76	2007	||||	Barcode:	CD 4218
Constantine [ motion picture ]  	-	Author:	(n/a)	||||	Publisher:	[s.l.] :	"Warner Bros. Pictures,"	c2005.	||||	Subject:	Supernatural thriller	||||	Location:	Audio Visual Center	||||	Call ID:	CD	791.43	C76	2005	||||	Barcode:	CD 2083
Construction superintendent's 	-	Author:	"Levy, Sidney M."	||||	Publisher:	New York :	"McGraw Hill,"	c2008.	||||	Subject:	Building	||||	Location:	Technological Studies Section	||||	Call ID:	(n/a)	690.068'22	L57	2008	||||	Barcode:	58318
Construction superintendent's 	-	Author:	"Levy, Sidney M."	||||	Publisher:	New York :	"McGraw Hill,"	c2008.	||||	Subject:	Building	||||	Location:	Audio Visual Center	||||	Call ID:	CD	690.068'22	L57	2008	||||	Barcode:	CD 3417
Consumer behavior [ transparency ]  	-	Author:	"Berkman, Harold"	||||	Publisher:	Illinois :	"NTC Business Books,"	c1997.	||||	Subject:	Consumer behavior	||||	Location:	Audio Visual Center	||||	Call ID:	Tr	658.8342	B45	1997	||||	Barcode:	TR 039
Consumer behavior [computer file]  	-	Author:	"Hawkins, Del I."	||||	Publisher:	Boston:	"McGraw  Hill Irwin,"	c2013.	||||	Subject:	Consumer Behavior  United States.	||||	Location:	Audio Visual Center	||||	Call ID:	CD	658.8'342	H31	2013	||||	Barcode:	CD 4386
Consuming [video recording]  	-	Author:	(n/a)	||||	Publisher:	[s.l.] :	[s.n.].		||||	Subject:	Consumption	||||	Location:	Audio Visual Center	||||	Call ID:	VT	339.4	C76	(n/a)	||||	Barcode:	VT 792
Contemporary advertising [computer file] 	-	Author:	"Arens, Williams F."	||||	Publisher:	New York :	"McGraw Hill,"	c2002.	||||	Subject:	Advertising	||||	Location:	Audio Visual Center	||||	Call ID:	CD	659.121	Ar3	(n/a)	||||	Barcode:	CD 3188
Contemporary advertising [computer file]  	-	Author:	"Arens, Williams F."	||||	Publisher:	Boston :	"Mc Graw Hill  Irwin,"	c2004.	||||	Subject:	Advertising	||||	Location:	Audio Visual Center	||||	Call ID:	CD	659.1	Ar3	(n/a)	||||	Barcode:	CD 2253
Contemporary college algebra 	-	Author:	"Hungerford, Thomas W."	||||	Publisher:	Forth Worth :	"Harcourt College Publishers,"	c2001.	||||	Subject:	Algebra.	||||	Location:	Audio Visual Center	||||	Call ID:	CD	512.9	H89	2001	||||	Barcode:	CD 503
Contemporary college physics  	-	Author:	"Jones, Edwin R."	||||	Publisher:	Boston :	"WBC   McGraw Hill,"	c1999.	||||	Subject:	Physics	||||	Location:	Technological Studies Section	||||	Call ID:	(n/a)	530	J71	1999	||||	Barcode:	42243
Contemporary college physics  	-	Author:	"Jones, Edwin R."	||||	Publisher:	Boston :	"WBC   McGraw Hill,"	c1999.	||||	Subject:	Physics	||||	Location:	Audio Visual Center	||||	Call ID:	CD	530	J71	1999	||||	Barcode:	CD 256
Contemporary investments 	-	Author:	"Hearth, Douglas"	||||	Publisher:	Fort Worth :	"Harcourt College Publishers,"	c2000.	||||	Subject:	Investments	||||	Location:	Audio Visual Center	||||	Call ID:	CD	332.6	H35	2000	||||	Barcode:	CD 417
Contemporary management [ computer file ]  	-	Author:	"Jones, Gareth R."	||||	Publisher:	Boston :	"Irwin   McGraw Hill,"	c2000.	||||	Subject:	Management.	||||	Location:	Audio Visual Center	||||	Call ID:	CD	658	J71	2000	||||	Barcode:	CD 428
Contemporary management [ computer file ]  	-	Author:	"Jones, Gareth R."	||||	Publisher:	Boston :	"Irwin   McGraw Hill,"	c2000.	||||	Subject:	Management.	||||	Location:	Audio Visual Center	||||	Call ID:	CD	658	J71	2000	||||	Barcode:	CD 3551
Contemporary management [ computer file ]  	-	Author:	"Jones, Gareth R."	||||	Publisher:	Boston :	"Irwin   McGraw   Hill,"	c1998.	||||	Subject:	Management	||||	Location:	Audio Visual Center	||||	Call ID:	D	658	J71	1998	||||	Barcode:	D 012
Contemporary management [ computer file ]  	-	Author:	"Jones, Gareth"	||||	Publisher:	Boston :	"McGraw Hill Irwin,"	c2003.	||||	Subject:	Management	||||	Location:	Audio Visual Center	||||	Call ID:	CD	658	J71	2003	||||	Barcode:	CD 2414
Contemporary management [ computer file ]  	-	Author:	"Jones, Gareth R."	||||	Publisher:	Boston :	"Irwin   McGraw Hill,"	c2000.	||||	Subject:	Management.	||||	Location:	Audio Visual Center	||||	Call ID:	CD	658	J71	2000	||||	Barcode:	CD 3557
Contemporary management [computer file] 	-	Author:	"Jones, Gareth R."	||||	Publisher:	New York :	"McGraw Hill,"	c2006.	||||	Subject:	Management	||||	Location:	Audio Visual Center	||||	Call ID:	CD	658	J71	(n/a)	||||	Barcode:	CD 3175
Contemporary management [computer file] 	-	Author:	"Jones, Gareth R."	||||	Publisher:	Boston :	"McGraw Hill Irwin,"	c2006.	||||	Subject:	Management.	||||	Location:	Audio Visual Center	||||	Call ID:	CD	658	J71	2006	||||	Barcode:	CD 3849
Contemporary management [computer file]  	-	Author:	"Jones, Gareth R."	||||	Publisher:	Boston :	"McGraw Hill Irwin,"	c2006.	||||	Subject:	Management.	||||	Location:	Audio Visual Center	||||	Call ID:	CD	658	J71	(n/a)	||||	Barcode:	CD 2873
Contemporary maternal-newborn nursing care [computer file] 	-	 Author:	"Ladewig, Patricia W."	||||	Publisher:	"Upper Saddle River, NJ :"	"Pearson Prentice Hall,"	c2006.	||||	 Subject:	Maternity nursing.	||||	Location:	Audio-Visual Center	||||	Call ID:	CD	618.2'0231	L12	2006	||||	Barcode:	CD 4509
Contemporary medical office procedures [ computer file ]  	-	Author:	"Humprey, Doris D."	||||	Publisher:	New York :	"Thomson Delmar,"	c2004.	||||	Subject:	Medical assistants	||||	Location:	Audio Visual Center	||||	Call ID:	CD	651.'961	H88	(n/a)	||||	Barcode:	CD 2222
Contemporary statistics 	-	Author:	"Gordon, Sheldon P."	||||	Publisher:	New York :	"McGraw Hill Inc,"	c1994.	||||	Subject:	Statistics	||||	Location:	Graduate School Section	||||	Call ID:	(n/a)	519.5	G65	(n/a)	||||	Barcode:	29531
Contemporary statistics 	-	Author:	"Gordon, Sheldon P."	||||	Publisher:	New York :	"McGraw Hill Inc,"	c1994.	||||	Subject:	Statistics	||||	Location:	Circulation Section	||||	Call ID:	(n/a)	519.5	G65	1994	||||	Barcode:	37976
Contemporary statistics 	-	Author:	"Gordon, Sheldon P."	||||	Publisher:	New York :	"McGraw Hill Inc,"	c1994.	||||	Subject:	Statistics	||||	Location:	Circulation Section	||||	Call ID:	(n/a)	519.5	G65	1994	||||	Barcode:	45609
Contemporary statistics 	-	Author:	"Gordon, Sheldon P."	||||	Publisher:	New York :	"McGraw Hill Inc,"	c1994.	||||	Subject:	Statistics	||||	Location:	Audio Visual Center	||||	Call ID:	D	519.5	G65	1994	||||	Barcode:	D 116
Contemporary trends [video recording]  .	-	Author:	(n/a)	||||	Publisher:	[s.l.] :	"The Center of humanities,"	c1986.	||||	Subject:	Expressionism	||||	Location:	Audio Visual Center	||||	Call ID:	VT	709.040'52	C74	(n/a)	||||	Barcode:	VT 211
Contemporary trends [video recording]  .  	-	Author:	(n/a)	||||	Publisher:	[s.l.] :	"The Center of humanities,"	c1986.	||||	Subject:	Modern art	||||	Location:	Audio Visual Center	||||	Call ID:	VT	709.04	C76	(n/a)	||||	Barcode:	VT 737
Continental drift 	-	Author:	(n/a)	||||	Publisher:	"Chicago, Illinois :"	"Encyclopaedia Britannica Educational Corp,"	c 1998.	||||	Subject:	Ice ge.	||||	Location:	Audio Visual Center	||||	Call ID:	VT	551.792	C74	1998	||||	Barcode:	VT 473
Continental drift  	-	 Author:	(n/a)	||||	Publisher:	"Chicago, Illinois :"	"Encyclopaedia Britannica Educational Corp,"	c1998.	||||	 Subject:	Ice ge.	||||	Location:	Audio-Visual Center	||||	Call ID:	CD	551.792	C74	1998	||||	Barcode:	CD 4535
Conversations for three 	-	Author:	"Chen, Deborah"	||||	Publisher:	"Baltimore, Maryland :"	"Paul H. Brookes Publishing Co,"	c1999.	||||	Subject:	Nonverbal communication.	||||	Location:	Audio Visual Center	||||	Call ID:	VT	302.222	C41	1999	||||	Barcode:	VT 320
Cooking for today.	-	Author:	(n/a)	||||	Publisher:	"Seattle, WA :"	"Multicom,"	c1995 <199	||||	Subject:	Cookery.	||||	Location:	Audio Visual Center	||||	Call ID:	CD	641.5	C77	1996	||||	Barcode:	CD 1497
Cooper's comprehensive environmental desk reference  	-	Author:	"Cooper, Andr?e R."	||||	Publisher:	New York :	"Van Nostrand Reinhold,"	c1997.	||||	Subject:	Environmental sciences	||||	Location:	Audio Visual Center	||||	Call ID:	CD	363.7	C78	1997	||||	Barcode:	CD 358
